wavelength  n   k
200.0   0.9682   2.8615 
205.0   0.9997   2.8972 
210.0   1.1366   3.067 
215.0   1.2093   3.1655 
220.0   1.2946   3.2758 
225.0   1.4129   3.3912 
230.0   1.5687   3.4576 
235.0   1.6779   3.4532 
240.0   1.6972   3.4661 
245.0   1.683    3.5536 
250.0   1.6836   3.7084 
255.0   1.7187   3.9158 
260.0   1.8023   4.167 
265.0   1.9485   4.4545 
270.0   2.1792   4.7755 
275.0   2.5409   5.1192 
280.0   3.1085   5.4034 
285.0   3.8468   5.4436 
290.0   4.5424   5.1547 
295.0   4.9927   4.6458 
300.0   5.1531   4.1458 
